Review Text,Sentiment,Fit,Fabric,Color,Style,Cost
"This top was different than what i normally wear but based on good reviews i purchased. i really love it. it is different than i thought it would be. i thought it was longer sleeves but it is just above the elbow. definitely need a tank or something underneath as it is see through and the sleeve holes are quite large. 
definitely recommend.",1,,0,,-1,
"The cut and design of this dress is lovely! the fabric is heavy enough for fall/winter, but the sleeveless style makes it a great transition piece for when the weather warms up again. it does run slightly larger than most other retailer dresses. i sized down to a 2 from a 4. the bust stretches a bit for the ladies who might be heavier on top (i'm a 34 dd), however, i noticed the white shows through in dark places around my bust. also, the boning in the front pushed against the fabric a bit",0,-1,1,,1,
"Really beautiful top. i agree with the others, a bit on the short side. it is cut a little wide but has a nice flow. the color is not pink. it is a blush type color that can be hard to wear for some skin tones, but i'm going to make it work because the top is too pretty to pass up.",1,-1,,-1,1,
"Boxy, short & wide! luv this brand but super disappointed with this design...",-1,-1,,,-1,
"......not for the long waisted. i immediately ordered this top when i saw it online. the embroidery is beautiful (although it will require extra care). the soft lavender color was a breathe of fresh air. however, i felt like i was wearing a maternity top as it hung oddly on my slim, 5'9"" frame. i am long waisted so perhaps petites will find this top works for them. i agree with the other reviewer that indicated the arm openings are a bit large and deep. sadly, this one went back....",-1,-1,,1,0,
"This blouse does have a flowy, boxy shape to it but the details make up for that. when i wear it tucked into a skirt it looks wonderfully flattering. i tried on an xs and considered looking for a xxs but i feel that size would probably end up being too short instead of more fitted.",1,-1,,,0,
"I desperately wanted this to work - it's a beautiful color and overall quality...it is just so short and wide (almost a perfect square if you lay it out flat). i can see it looking better on someone on the shorter side, but on my 5'7"" frame and long torso it just didn't look right. few extra inches and this could have been awesome!",0,-1,1,1,,
"Tried in store today and found to fit tts. images are accurate in terms of color and showing that there is a tiny bit of sheerness to this (as you can see near the bottom in each photo). i really loved everything about it except that it flared out a bit on the bottom in a way that i'd probably fuss with too much. id probably buy it on sale, but not before that.",0,1,0,1,-1,-1
"I didn't look at this dress twice online but when i tried it on in the store i was floored. it was beautiful, flattering, and so much fun.",1,,,,1,
"I fell in love with this romper and it was my go-to for any given day, but as soon it got wet the blue dye bled everywhere, so i had to return it.",-1,,,-1,,
"This top is gorgeous in person! i got the small because at 5'5"", 127 pounds and a 30f chest, you never know how a top will fit. however, this one is big. i definitely needed the xs which is now sold out. i'll be taking in the sides because the arm holes show too much bra and there's a ton of extra fabric that makes it way too blouse. love this shirt though and am not willing to part with it!",1,-1,,,-1,
"I am an retailer employee and this top just screamed my name when it arrived in our store. i love the colors and the feminine flair of this top. i am short and this top is a little longer on me than pictured on the model. i like the fact that it is a bit longer, it helps cover up some of my extra assets. the top is to big at the arm holes which is the story i have heard from my customers who did not purchase the top even though they loved it. i should have purchased the xxs online, it would",1,-1,,1,0,
"I got this top in the ""brown"" color, although it is really more of a burnt rose, or light sienna shade and it is just lovely. i love the color. the fit is just right, comfortable and a good length. it feels very well-made and has beautiful details from the pleated collar/neckline to the slightly sheer upper back panel. i have only one tiny issue with this top: in the very front where it buttons, there is no lining or fabric behind the crocheted lace panels. in retrospect, i can see this slightly",1,1,,1,1,
"The detail on this top is beautiful, love the embroidery ! i wanted it to work so bad, but it is much too wide, bells out and makes my size 8/10 body look wider than it is, another reviewer mentioned the model must have it pinned on the sides, because the top does not lay like that. it runs large, especially under the arms. too bad......",0,-1,,,-1,
"I tried on a small, but usually am xs:

this shirt didn't seem like it had too much fabric or too bulky to me as it did to others and i tried on a larger size. the material is soft and feminine, and love the embroidered detail. one thing to note is i found that even with the layer of fabric, it was still a bit sheer and i could see through in some of the dressing room lighting. didn't purchase only based on the skin tone v's shirt color. color of shirt is gorgeous, but i am pale and it wasn't",1,,1,,1,
"I just ordered this top and so far really like it, it is pretty and feminine and comfortable. the one thing i would note is that the lace running down the center has holes which you can see through, unlike the lace to each side. it's not extremely noticeable, but i am planning on wearing a cami under it. i ordered a small and it fits pretty well but is definitely on the looser side, i wonder if possibly the extra small would work for me, but i'm fairly tall so i went with the small.",1,-1,,,0,
"The color and detailing on this shirt are pretty, but it is incredibly wide at the hips. as someone with a large chest, it was very unflattering.",0,,,1,0,
"I wanted to love this top. i really did. the color is beautiful, the embroidery is well done, the fabric is soft, and it feels like it would be very comfortable in the summer heat. but the armholes are big and so the holes show my bra which is not good. i guess i could wear a bandeau or tank underneath, but the armholes just kind of ruined my love for this top. i think i will try again and order next size down.",0,,1,1,-1,
"I liked the details on the front a n d back of this top. while i was pregnant i purchased the white color in the small. everything fit, surprisingly, the top even covered up my pregnant belly. i returned it since i didn't want a top with so much room in the waist area post pregnancy. i recently got this top in the xs thinking that it will be a great stylish breasting top. while everything fit in the hips, and waist, the chest area was too tight. this top did not work for me as i am in between sizes",0,0,,0,,
"Super flattering dress. love it. makes my waist look tiny. great fit and flare style without making me look pregnant! i love the fabric. will be great as a travel dress (packs easy, doesn't need to be ironed really, substantial fabric). love it. i think it runs large since i'm rarely a 2 at retailer, but i find that maeve runs all over the place. i'm usually a 4 at retailer and i got a 2 in this.",1,-1,1,,1,
"I just got these and had to return them as they were not becoming on my physique. for reference, i'm
5' 5""; 122 lbs; 26"" waist; 38""hips and i have a long torso and short legs. i ordered a 29 petite. the fit
was tight, but they are supposed to fit tight. if i wasn't so ""hippy"" i would have kept them. the model is
slender with long legs and she looks fantastic in them. not me. i do recommend these as they are cute, but perhaps geared for a more slender body type.",1,1,,,,
"I love this blouse. it reminds me of something out of europe with the swiss dot and crochet delicate sleeves. i ordered the xsp and it fits perfect. i'm 4' 11"" so the shortness of the top isn't a factor. the material drapes nicely and doesn't make me look wide or boxy. i was afraid that the sleeves were going to be overly puffy put luckily they are not. the only thing to note is that the color is more on the tan / beige side rather than pink. i find with a lot of retailer tops that the colors are",1,1,1,-1,,
"I purchased in the raspberry, love this color and the asymmetrical design is super cool, and the color is unique - however i am on the fence. this knit top is very thin and for the price and to wear in the cold fall and going into winter i think i need it to be more of a light sweater or at least a thicker fabric. i am 5'9 and 140 lbs. and the small fits perfect. the sleeves are long which you tall gals will love.",0,1,-1,1,1,-1
"While i love this top ( beautiful color and pattern) i found it to be a bit short.  if it were a few inches longer i would be thrilled.  i'm 5'8 ,  curvy, and have a long torso-- so that may be the problem. i will say that within 2 hours of wearing this, i had 5 strangers stop me and comment re: how pretty it is. i am keeping it :)",1,,,1,0,
"I tried this on in the ivory color because it was on sale and i thought it ""might"" be sort of cute. a comfy, flowy, warmer to cooler weather transition top. little did i know how much i would fall in love with it! i tried it on over like 3 things in the fitting room, including a black strapless maxi dress i wore into the store, and it still looked great! it is comfortable, loose, and goes with pretty much anything (i've tried and still haven't found anything it looks bad over). it's not super dr",1,1,,0,,1
"I really lived the detail , fabric, and quality of this tank. however, the sizing seemed disproportionate. it was tight through the bust and loose the waist. i really loved all the colors i purchased online but had to return them because of the sizing.",0,-1,1,,1,
I tried on this dress in store and was amazed by the quality and simple structure of the dress. bought it with no hesitation.,1,,1,,1,
"I wanted to love this, but instead of being a flowy kimono top as pictured- it was a thick blazer type garment. not at all what is pictured here unfortunately. also it was much shorter than pictured and i am only 5'4''. 

love most retailer styles, but this one was a miss and a return.",-1,-1,-1,,,
Absolutely beautiful dress. i'm 5'11 and this dress works for tall girls:)),1,1,,,1,
"No need to be on the fence about this top, it's lovely! what you see pictured here, is exactly what you get, even the color of the top is 100% accurate. for reference i'm usually an xl/16, apple shape, 40 c bust, and this xl does not cling at all to me, so you may even be able to size down. the drape of the clipdot fabric is flattering, and thick enough not to need a cami. all of the fabrics used are nice and soft... and the details! it's going to be a beautiful spring!",1,1,1,1,1,
"Ordered navy in a medium and it is wide. sometimes that's a good thing, but not this time. am short waisted and hoped this would be more fitted at the waist on me but it isn't. it just looked frumpy with lots of see through parts. obviously it needs a cami but wasn't attractive on me at all. seemed well made and probably better on someone taller.",-1,-1,,0,-1,
"I ordered my normal size large and it fit well although a bit on the long side. the fabric has a waffle texture that's lightweight but warm and cozy. i got the blue and the color was a bit intense in combination with the tie dye affect and waffled texture. my favorite part are the lighter striations on the neck. that opening is really small. it just didn't suit me, so i returned but recommend giving it a try if it's calling your name.",0,1,1,-1,-1,
"I saw this dress a few weeks ago in the store, tried it on but didn't have anywhere in mind to wear it so i passed. noticed it on sale online and had to order. it is so comfortable and flattering. the material is thicker therefore it keeps a nice shape. not slinky at all.",1,1,1,,1,
"This top is my favorite spring item. the color is a soft petal, but it doesn't wash me out (i'm a sandy paleface), and the details make it special. the cut is a little wide (i sized down), but it's also forgiving and perfect with slim pants or a pencil skirt. it's really a find.",1,-1,,1,1,
Runs large and it also had a small hole in the back had to return it.,-1,-1,,,,
The idea of this dress is lovely. the fabric is pleasing to the touch. the print manages to be eye catching but understated. i don't know my exact measurements but i typically wear an extra small and i rarely have fit issues with off the rack clothing. i read the other reviews about the odd fit but decided to take a chance. i ordered an extra small in this dress and the bottom half fits perfectly. the top fits poorly. i have a fairly athletic build but it is a bit too large for my shoulders. how,1,0,1,,1,
"Wish someone warned of the navy one being not as pictured!! i ordered the navy because the crocheted part appeared to be more intricate than the ivory. in reality the navy knit is just like the ivory. it seems well made but very delicate. i'm not a fan of tops (especially pricey ones) that require a camisole but this top is a very ""retailer"" piece so most likely i will keep it, just a bit disappointed.",0,,,-1,,-1
"This is a very pretty, feminine top with nice detailing.",1,,,,1,
I ordered this on a whim and am so glad that i did. it's a great color shirt and the embroidery is perfect. i like the length of the shirt.,1,1,,0,1,
"Love the shape and flow of this dress. but i was sent a dirty stained dress so this is going back.

would not recommend",-1,,,,1,
"Expected them to fit somewhat loose but actually tight for a boyfriend fit. like a slightly relaxed skinny with a really low crotch. stretches everywhere when sitting and walking except the waistband. the distressing and fraying holes in good placement. wish there was some on the back of the leg but i have yet to find a pair that does that. good color and quality, but not quite worth full price. will probably look for them on sale later. i always prefer skinny jeans over boyfriend do it might bi",0,-1,1,1,,-1
"The blouse is gorgeous. the detail to the blouse is outstanding and it is very feminine. from the pictures, front and back, there appears to be flow to it and room. however, my general size m was absolutely gigantic. it was like a tent. i was speechless when i looked in the mirror. i debated tapering it and then thought that's just too much effort. i'm going to return and see if i can order in 2 sizes smaller. i'm 5'1 and a 36c, if this helps.",0,-1,,,1,
"This dress is made of a wonderful, thick material that is flattering. i think the photo doesn't really bring it to life- it's a great dress that can dressed up and is at least a 3 season dress thanks to the colors. the v-neck is a little deep if you are bustier but not inappropriate for a slightly more casual office. it runs a bit large and the fabric has some give so i would potentially size down. i also think if you are more narrow shouldered it might not be the best fit without a nip and tuck",1,-1,1,1,1,
I love floreat and was excited to find this top on sale. i received multiple compliments the first day i wore it. it is true that it might be better with a bit less fabric but it wasn't a deal breaker for me. the flowy shape it ideal for summer.,1,,-1,,1,
"Pretty color, great details, awesome stitching.. aaaaannnnnnd it actually not only goes out a line but ballooned out above the hem and then came back in - just too much fabric down below. nice at neck, arms and chest but disastrous anywhere below that.",0,,-1,1,1,
I love this tank to wear alone because it is soft and more lovely than a basic plain tank. it is especially great to layer with a sweater/ cardigan. the colors are always fabulous and the design is wonderfully feminine. i own several and love them all. it's a great value especially on sale. i normally wear a size 6 and the small fits perfectly.,1,,1,1,1,1
"Like others, i think this is just lovely on so many levels. however...
____________
pros:
- great color, will match with many things.
- great design at the sleeves and overall.
- the ""v-neck"" part isn't too low.
- fabric is pretty comfortable and breathable for the most part.
_____________
cons:
- it is boxy/wide. for my height and weight, the medium fit well, but i noticed it made my torso look shorter. plus, i'm a 36c (not huge, but to retailer's standards, i've had issues with things b",1,-1,1,1,1,
"The details on this blouse are so pretty. it is a bit wide, but it flows nicely. it is also a little shorter than a lot of tops, but i think it will work nicely with higher waisted flares this spring. the sleeve is very flattering. i got medium, my normal size.",1,0,,,1,
This top is beautiful but beware there is a lot of extra material on the sides. it was not flattering on only because of all the excess fabric. clearly the model in the picture has it pinned behind her. it would be a keeper if it was cut closer to the body but sadly it's going back.,-1,,-1,,-1,
"I love this top! it is sheer, so wear a cami, but it so pretty, i will wear it a lot! a winner for sure.",1,,-1,,1,
"I have the jeans version of these pants, and these run smaller and they're a little thinner than jeans. i like the style, and i looove the jeans, but i'll have to exchange these for one size bigger and see if they work.",0,-1,0,,1,
Beautiful and delicate!!,1,,,,1,
"This dress is beautiful and extremely flattering- i have an hourglass shape, and this dress highlighted that perfectly. the pictures online do not do it justice.",1,,,,1,
"I love the tie-dye look! i ordered the blue color in my usual size small. fit is tts. love it!. just a fyi: 1. on mine, one arm is a darker blue tie-dye, the other is very light (color variation). 2. the white band on the mock-neck doesn't give much, so be careful when putting on/taking off.  i think it's pricey, but ordered during the promo so that made it better. it came yesterday, put it on w/ my washed blue skinny jeans, out to dinner we went!",1,1,,-1,-1,-1
"The top is gorge, it may look somewhat slouchy but it falls perfect and looks great, especially the navy color with white jeans. i liked it so much i ordered the ivory color too. beware the quality of this top is extremely delicate and if you don't want it to snag, do not wear a bracelet that can snag it.",1,,-1,1,1,
"This top is awesome!! it is feminine and flattering at the same time! the color also makes it a little romantic. i will wear it with jeans or very a little dressier night out, black pants. buy this and you will not be disappointed!",1,,,1,1,
"For myself it brings out the playful side of me. it is flows and just looks lovely. i wore it with a white denim skirt, and booties. i know white, and it looked great. the fabric is beautiful, and in the sun it is breathtaking",1,,1,,1,
Love this dress! accents your curves and slims you waist!,1,,,,1,
"These tights are wonderful, exactly as pictured (but the shimmer is more apparent in person), definitely true to size, and super comfy! the only tricky part is finding the right shoes to pair with.",1,1,,,1,
"I am giving this dress 3 stars bc it's pretty and i bought it, but i'm going to need to get it altered big time. i got the 00 and it's too big on top, but this is the type of dress that should be fitted on top. i am a small person, but this fit more like a 4 or 6. print is beautiful though. wayyy prettier than the pic. i suggest getting 2 sizes down. i could see it being extremely gorgeous if it fits correctly!",0,-1,,,1,
"I love this tunic! it's wool but the same kind of thin high quality wool you might find in a nicer scarf. colors are much nicer than they show up online. this is one you really need to see in person. the only drawback is that the material seems to snag easily. i returned the top at full price as it is just too much to spend for something i'll only wear a few times before no doubt ruining it. if you are not hard on your clothes like i am, this is a great find. i may repurchase it when/if it gets",0,,0,1,,-1
I almost never buy full price but i did with this skirt.  it is adorable! saw it in the store.  it is too short to wear to work but is fine for casual wear.  i am a size 14 but the largest one they had was a 12 and it fit perfectly.  i&#39;d size down. the fabric is stiff and the a-line stands out.  colors are southwesternish.  can be worn with any color top.  i bought a cream colored top to wear with it (that was on the sale rack) but i'm sure there are plenty things in the closet that will go.,1,-1,-1,0,,
"I'm 5""1, 115 and bought the small. i buy most retailer tops in xs but the small fit well - not too tight and is flattering. the colors are as seen and are a soft muted color. the material is thin which is fine for hot weather and i haven't washed so can't say how colors will hold and how well material will hold but have high expectations for retailer apparel. this will work well to wear with shorts or a navy maxi skirt. adds a nice touch of color for spring and summer.",1,-1,1,1,1,
"I usually wear a medium in tops from deletta so i would say this top is true to size. i personally loved the fit. in the front, the seam goes up slightly to follow the bust line. there are some gathers in that area as well so that any little bulges in the tummy area are hidden. the fabric falls nicely there. the seam at the waist on the side and back hit exactly at my waist. i love both of the prints. the tops seem to be well made. time will tell.",1,1,,,1,
"Very lovely dress!!! perfect in all ways. although i do find it to run big. i ordered the small, and i usually wear a 4 to 6 in a dress. there is a lot of fabric, but it lays nicely. it's mostly just the arm hole. it's rather large showing the strapless bra. so, deciding if i should size down, if there isn't a huge change in sizing, or keep and have altered.
if anyone has tried in both the xs and sm i will watch for comments overall size differences. i have the black and white, and wish now i wo",1,-1,1,,1,
"The photo does not do this top justice. the design of this peplum is very slimming and the colors are complimentary to any skin tone. i usually wear a m (10) but purchased the l based on other reviews. it fits perfectly. 
would highly recommend!",1,-1,,1,1,
"Even though i had to return this top because it did not fit me properly, it's a very nicely made and attractive piece with a lot of versatility.",0,-1,,,1,
"I love the feel and drape of silk. this dress has lovely drape, and fantastic color. i think if paired with the right sweater and leggings, this will work well into the fall, and also transition into other seasons if you are savvy! the only awkward point about this dress is that you must wear a belt with it if you have an hourglass shape, otherwise it's a beautiful swing fit.",1,0,1,1,1,
"Based on other reviews that this top ran large, i ordered this online in two sizes. both seemed to fit alright in my chest (although the chest fit tighter in the smaller size), and both were much too big on the bottom. the front bottom of this shirt has a series of pleats, so the bottom of this top really, really, really flared out away from my hips. the length seemed fine on me (5'10""). the material is very thin, and i could see my nude bra through the white pattern.",-1,-1,-1,,,
I bought this top in pink today and it is a beautiful bright pink spring color. i did have to size down from my normal size six all the way down to a 2 due to armholes being being too big. i tend to have a chronic problems with armholes being big so not sure others may find the same problem however i typically size down to a 4 when armholes too big. plenty of room in body still but i lost some length. i do have a short torso so can get a way with this. aside from my armhole problem it is a gorge,1,-1,,1,,
Love this top! bought it in the relish color - loved it so much bought the green too! usually wear a small but the medium was perfect.,1,-1,,1,,
I love this top. fit is perfect for me. shows just the right amount of cleavage. wore it to dinner on my birthday and got a ton of compliments!,1,1,,,,
"Cute pattern, but the shirt is very thin and runs small and short!",0,-1,-1,,,
"I purchased the mustard colored item and it is very good for spring. nice fit, nice quality",1,1,1,1,,
Have worn this top multiple times with jeans. neckline makes even those of us who are small busted look great up top!,1,,,,1,
"This top is all around great for summer... i've worn it to festivals, for casual workwear, etc. love the colors, they're vibrant. this top could even be worn on the warmer days of fall with a light jacket over it.",1,,,1,,
"This is a very flattering and comfortable top that can easily transition into fall. i can't wait to wear it (i have the black and white one) under my new leather jacket! the store was out of my size, so i had to order the top, which came with a small snag. i trimmed the thread and wore it anyway! it is also long enough to wear with leggings.",1,1,,0,,
Just bought the patterned and gray. the small fit perfect. i do have a short torso though. chest size 32dd. i tried the medium but then the underarm portion was too wide. i might have gotten a medium petite but small petite would have been too small i think. i hope the quality holds up which was the only thing i wasn't sure of. great summer tank to throw on with jeans or shorts.,1,0,,,,
