Review Text,Sentiment,Fit,Fabric,Color,Style,Cost
"Boxy, short & wide! luv this brand but super disappointed with this design...",-1,-1,,,-1,
"I ordered the coral/peach version in size 16. it ran small, especially compared to other size 14 or 16 mauve blouses i've purchased. very tight throughout the blouse. the product photos looked so nice compared to what arrived. the material was extremely cheap in quality. it wrinkled terribly. the bow pulled the material down which obscured the look of the eyelet. the idea of this was perfect for my style. unfortunately, the poor choice in material & poor fit made this a return for me.",-1,-1,-1,,,
"I was so excited to get this top in the mail. i loved the colors, print, cut, everything. i put it on and was so disappointed, the top looks so much better on the model. i don't know if i should have gone down a size (i go between an xs and s), but it looked terrible on me! my husband took one look at me in it and said that's being returned. still disappointed",0,0,,1,1,
"This shirt is purportedly made of silk, but it is extremely low quality. the material is coarse and scratchy. it's not even worth it at the extra 40% off sale price. returned.",-1,,-1,,,-1
"This shirt was tent like on me and there was really no way around it. i am fairly small- usually a 4 or 6 in tops, and smaller on top- barely 34b. this top was incredibly unflattering, falling to cut right at my hips and sitting open and way too flowy-- like a pillowcase/sacklike fit. there was just too much fabric here to make it work for me. it's unfortunate because it looks adorable in the product photo and i love the plaid mix with the open shoulders- a nice transition to fall. unfortunately",-1,-1,,,0,
I returned this item. it was soft. very blah fabric. nothing special.,-1,,-1,,,
I loved the idea of this summer top flowing in the breeze... then i got it and the sleeves did not give as much slack as i would have hoped #spandex so #returned!,-1,-1,,,1,
Love the movement of the blouse and how it falls. great quality material.,1,,1,,,
"I wanted to love this sweater but it is a return. it is a very weird fit, very thick, rug-like material and unfitted. the shoulders are bulky, the top is big and the booty is small. i am 5'2"", 34c and typically wear a small. the arms were very long, way too long. i will say other than that the top was true to size, may look okay on someone who had a larger chest and a smaller bum!",-1,-1,-1,,,
"Completely oversized top, size medium was swimming on me.....boxy, baggy, shapeless -- what more can i say? even in an xs this would not have fit in any way like the photo, returned.",-1,-1,,,-1,
This sweater is a dull off white color. it looks old fashioned. don't get.,-1,,,-1,-1,
"These are horrible pants!!! they run small in the thigh and butt like other cartonnier crops. look great at first....after a few hours of wear the stretch out everywhere!!! absolutely terrible! i have several pairs of cartonnier crops that are my ""go to"" pants, but these are not worth even the sale price! i'd give them no stars if i could!! this fabric is very different from my other printed pairs. if u must try them, size down and suffer through the first few ""tight"" hours! trust me...they will",-1,-1,-1,,,-1
"Beware! there is a reason this sweater is on sale. it is not even remotely the same color as pictured. instead of the lovely antique blue in the photo, this sweater is a faded, boring, teal-green. what a huge disappointment.",-1,,,-1,,
"Even at a very deep discount, this piece is definitely not worth the money. the picture made me think this jacket had a longer curved velvet hem as part of its design (which would be cool)--which is largely what attracted me to it, but as i discovered when it arrived, that was actually part of the shirt worn beneath in the photo. so this image is rather misleading. the actual jacket is very thin--more like a shirt with an open front than a jacket. the pockets are just loosely tacked inside. for",-1,,-1,,-1,-1
"Uhm no. oh dear, no. i was initially drawn to this blouse's lovely fabric, the color and pattern are truly stunning. i decided to give it a try because it seemed somewhat boxy, oh boy was i right. sadly, this is one of the least flattering tops that i've ever tried on at retailer. it might be a great maternity top, though.",-1,,1,1,-1,
"This shirt fits very closely to the body. it has a very strange fit in the shoulder, though. the arms themselves are really long, far past my hands, yet it's very tight in the shoulder and under arm area. for reference, i am 5'10"", 130 pounds and ordered a small, which is what i usually need.",-1,-1,,,-1,
"I wanted this so badly, to wear as a dress over a slip. but it is not cute or flattering when you put it on. it made me look 20 pounds heavier than i am, and the fit was awful. i usually wear an xs in dresses at retailer and this swallowed me. i am petite but this is just waaaaaay too big. so disappointed because it's so pretty.",-1,-1,,,-1,
This was so boxy and unflattering. i loved the lining and the fabric was very soft but it looked like i was wearing a bag. was hoping to use this as a cute top layer for dresses but it was a terrible fit. sizing down would not help this one. went back!,-1,,1,,-1,
"I tried this shirt in a small (my usual retailer size) and it was very unflattering.   the fabric was ultra soft and it seemed it was nicely made.  however, this shirt is so unstructured and oversized, i might as well worn a brown paper bag.",-1,,1,,-1,
"The jeans look so different online! the pair i got did not have the stone washed look and was completely different cut. the rise is not as stated and is actually 10.5 inches! also, i'm a true 25 and the waist is like a 27, but the legs are super skinny. i'm so disappointed and i'm not even sure if is worth swapping out for a smaller size. these look more like men's cut jeans.",-1,-1,,,-1,
Only one sleeve is folded twice and sewed. meh.,-1,,,,-1,
"Much to my surprise when i tried on this sweater i found that it was cut in a bell shape and not at all fitted or straight like in the photo. when i pulled it out of the package i thought i'd ordered the wrong size because the shoulders looked so narrow. but when i tried it on the shoulders fit perfectly, with beautiful detail and high quality material, but the sweater belling out to a very wide shape. it is very wide at the hip and looks out of proportion. it doesn't look anything like the photo",-1,-1,1,,0,
"I wanted to love this blouse so much. but try as i might, it just fit so oddly on me. i'm usually a petite s so i purchased the xs in brown. first. the color was more gray-brown but it was still ok. but second, the fit was off. maybe i just got a bad one, but the center of the blouse was so offset, that the slit in the front laid so far to the left and the v-neck was so low that you could see my bra - there was no adjusting i could do to fix it. the material has a lovely soft silky feel to it an",-1,-1,1,-1,-1,
"This fell apart after wearing it once. for the price, it should hold up better. it's too delicate.",-1,,-1,,,-1
"Very disappointed. ordered two sizes, the fraying of the embroidery was so bad on one of the dresses i wouldn't have worn it and the zipper was sticking. the second dress had fraying and loose threads as well and the seams at the shoulders were not properly sewn which made the lace at the neckline completely crooked. some of these issues would maybe be acceptable if the dress was under $100 but at $228 they are not. returning both sizes.",-1,,,,-1,-1
"I was really excited for this top to arrive and was really disappointed once i tried it on. i am sure this is a gorgeous top on someone with a straighter or more slender frame. it is good quality and looks fine on the hanger. i think the color in the picture online accurately shows the color. ladies with hips or a booty, beware...this looked horrible on me! it clung to my butt and didn't hang nice and straight like it does in this picture. i expected the fabric to have a little give to it but it",-1,,1,1,-1,
"This dress looked adorable online, but unfortunately, it's not flattering at all, and it's completely see-through. completely. the material is so thin that i can't imagine it would hold up very well over time. this one is definitely going back.",-1,,-1,,-1,
"As another reviewer noted, the upper portion (back, chest, shoulders, etc.) fit nicely. however, the body of the dress was enormous and did, indeed, make me look much heavier throughout the middle. back to the store it goes.",-1,0,,,,
I was so excited to get this dress since it look so pretty on line but unfortunately the it was horrendous on. the model must have the dress tailored because it looks like a huge tent on me. it was very wide bust down and made me look 30 lbs heavier. i'm 5'4 and 125 lbs- ordered extra small and it fits bust up and arms so i say it's tts up top.,-1,-1,,,,
The shirt is very big. it would be cute as a maternity shirt.,-1,-1,,,,
